objid,t0,t1,t_raw,t_eff,ra,dec,racent,deccent,aper4,aper4_err,mag_bgsub_cheese,mag_bgsub,mag,distance,response,skybg,bg,bg_cheese,bg_eff_area,bg_sigmaclip,mag_bgsub_sigmaclip
6371091543166554005,864736591.995,864736670.995,80.0,58.0,293.873,62.1283,293.87271848693649,62.12793382890672,20.2099,0.26437,20.207303678188701,20.296311066066888,20.101506173184923,243.83113058517958,0.73075000303222781,0.00029299,2.926324397728127,1.6542035035163243,0.00174707109058782,0.75836431226765699,20.148732893895698
6371091543132999533,864695171.995,864695241.995,71.0,61.0,293.872,62.1285,293.87288374929363,62.128017351437741,20.4098,0.30746,20.406510427568552,20.449131764419356,20.315845526076949,244.26114106314719,0.84575135122653222,0.000304487,1.776920673731079,1.232252462105319,0.00174707109058782,0.50557620817843796,20.352132988839998
6372569316825497750,864695275.995,864695352.995,78.0,56.0,293.872,62.1286,293.87187703599028,62.128656461245996,20.3369,0.411614,19.886779026714123,20.049308877905755,19.859621014275763,349.25808741345691,0.4190637874629079,0.000359747,3.4456365823257276,0.53099814461349237,0.00174707109058782,0.42627013630731048,19.881368641077337
6371091543130902383,864695171.995,864695241.995,71.0,46.0,293.898,62.1219,293.89720856434752,62.122680133053251,-80.1829,-99.0,22.778957320065281,23.526400308472578,22.015624270745942,238.47475286112706,0.82514934170190868,0.00030401,1.8210293441141523,1.223880826512207,0.0017189525591010655,0.51548946716232891,22.275235945621159
6371091543166554028,864736591.995,864736670.995,80.0,71.0,293.89,62.1246,293.88954256323285,62.124255298219566,21.0665,0.399603,21.399794941529024,21.632550859375598,21.171547580362194,240.28503504694169,0.73746242466165246,0.000292831,2.8162800079852404,1.5433723363029914,0.0017037950783389641,0.72862453531598415,21.273357889072106
6372569316823400578,864695275.995,864695352.995,78.0,62.0,293.89,62.1241,293.89007857244746,62.123980879475248,-80.1829,-99.0,21.550875211642698,22.471941957524486,21.45072380514554,349.74104863913362,0.36400303918038351,0.00036229,3.3507748670463338,0.48434919123473341,0.0017041401763638285,0.4014869888475831,21.53307300324224
6371091543131952022,864695171.995,864695241.995,71.0,35.0,293.383,62.083,293.38220475001884,62.083015961364673,20.8994,0.424459,20.150148148216278,20.318047935344371,20.063293607761629,309.22671121145828,0.62900623310307024,0.000302845,2.3291248958687514,0.85617727028592994,0.001518795822261916,0.59231722428748357,20.122632833533448
6371091543131952016,864695171.995,864695241.995,71.0,62.0,293.369,62.0899,293.3684497538124,62.089830369647473,20.2168,0.309388,20.012882431449452,20.079634148011955,19.967301454937214,313.3287676643609,0.64998483571926624,0.000303692,2.1182640987881474,0.88602527249333396,0.0016259106147476692,0.67410161090458398,20.00180478147664
6371091541019067766,864735919.995,864735993.995,75.0,62.0,293.369,62.0881,293.36864526758876,62.088225290719315,20.0827,0.29228,20.154971415510076,20.178871568018234,20.052513302447512,335.35506889624804,0.90382369115322669,0.000309361,2.1889665106142413,1.7942291676340645,0.0016573617642002209,0.86988847583643003,20.100981755489691
6371091543132999295,864695171.995,864695241.995,71.0,65.0,293.37,62.0881,293.37049079710727,62.088112902141667,20.1334,0.33061,20.346645539172904,20.43142658467163,20.287829045728472,312.82751446580954,0.65544158286206455,0.000303427,2.0835378474888495,0.88684220022821969,0.0016575951720189473,0.66418835192069303,20.331576619590873
6371091543166553775,864736591.995,864736670.995,80.0,74.0,293.369,62.0876,293.36944054214672,62.087634296327636,19.8087,0.27256,19.984502818721392,20.061670474849635,19.943529833658811,313.12476895299812,0.61078899686563437,0.000314501,2.7106964788020171,0.97369792534994493,0.0016574668306279625,0.80545229244113892,19.977311666141155
