objid,flat_counts,mcat_bg,bg_counts,flux_bgsub_err,cps_mcatbgsub,counts,mag_mcatbgsub,cps_err,mag_bgsub,cps_bgsub,detys,flux_bgsub,flux_err,mag_err_1,cps_bgsub_err,t1_data,bg,responses,t_mean,cps_mcatbgsub_err,mag_bgsub_err_1,mag_err_2,t0_data,racent,deccent,mag,exptime,bg_flat_counts,detxs,t0,t1,mag_mcatbgsub_err_2,flux,mag_mcatbgsub_err_1,flags,mag_bgsub_err_2,detrad,cps,flux_mcatbgsub_err,flux_mcatbgsub,mcat_expt,ra,dec,aper4,aper4_err,mcat_bg
6443140352519963521,13341.427712550811,2662.3753585731256,10283.0,3.4006296610315715e-16,137.68422831962781,11842.0,14.732789512938808,1.4891986467443765,14.773189089548826,132.65522610351627,456.64389038085938,2.7326976577324351e-14,3.0677492122934156e-16,0.0093594414813154003,1.6507910975881415,901303695.99000001,3052.4343988101186,0.88781498647321044,901303651.57609832,1.6310342412302441,0.013427765649058898,0.0094408253422173516,901303606.995,323.068237305,0.254447668791,14.491115533470509,77.561914565746335,9157.3031964303555,275.36611938476562,901303605.995,901303695.995,0.012938631982340354,3.5434067405025271e-14,0.012786257388171407,0.0,0.013595914327058978,136.90191567210192,172.01003594672463,3.359930536934303e-16,2.8362951033843326e-14,91.0,323.068481445,0.254102051258,14.9839,0.0128006,0.00135231
6443140353123943631,19314.358139800621,4203.4500182021502,16433.0,2.6782470991311636e-16,125.45230699945198,18463.0,14.833803369593646,1.1537938700130597,14.908616129927962,117.09909753104033,479.12744140625,2.4122414091394307e-14,2.3768153722269026e-16,0.0077844218918592389,1.3001199510345454,901362622.99000001,5209.6059336783501,0.95605908038038445,901362554.64400148,1.2731703289317493,0.011988210127904964,0.0078406372889681109,901362486.005,323.067993164,0.254517823458,14.567329081678146,120.45141682140991,15628.817801035049,129.07809448242188,901362484.995,901362622.995,0.011075039959120403,3.3032054597565469e-14,0.010963208909927857,0.0,0.012122057805106223,282.24073212910827,160.34977959983237,2.6227308775994037e-16,2.5843175241887106e-14,139.0,323.06829834,0.254119366407,15.1768,0.0111715,0.00137138
6443140353962803809,15785.513967585468,3260.6726692316333,12026.0,3.0495014950129178e-16,132.8253640362372,14548.0,14.771797462849865,1.3324108072973369,14.81054035475869,128.16925445840059,377.98736572265625,2.6402866418430521e-14,2.7447662630325141e-16,0.0086074069775428086,1.4803405315596689,901374540.98500001,3699.7231017547383,0.92188819164959135,901374486.77333438,1.4635676486421523,0.012468265815597235,0.0086761896981286668,901374433.0,323.067932129,0.254551887512,14.520581224860194,94.295554085113054,11099.169305264215,133.41407775878906,901374431.995,901374540.995,0.012029840043375373,3.4485357330712033e-14,0.011898010041534235,0.0,0.012613112591653319,267.49319618454797,167.40464723646619,3.0149493562028334e-16,2.7362024991464864e-14,110.0,323.068237305,0.254159659147,15.0886,0.0122134,0.00135888
6443140356445832584,19881.965317065686,4022.8973725328492,13754.0,2.7552131224350878e-16,137.93417486536657,16378.0,14.730820296912453,1.2263766623728887,14.713350646496822,140.17150664020741,198.11566162109375,2.8875330367882728e-14,2.5263359244881507e-16,0.00767289370039137,1.3374820982694602,901469784.99000001,3765.6587537040068,0.82401505240402617,901469719.58849192,1.3447369804640836,0.010310714973259749,0.0077275041723900983,901469653.995,323.067932129,0.254315346479,14.485366166637853,114.97562485883138,11296.97626111202,372.08016967773438,901469652.995,901469784.995,0.010636908707155612,3.5622201317403302e-14,0.01053370961102118,0.0,0.010409570411061608,203.80579728730197,172.92330736603546,2.7701581797560121e-16,2.8414440022265512e-14,128.0,323.068267822,0.254016697407,14.9829,0.0109897,0.00138262
6443140356680715624,47806.894873410951,9413.8317703657995,32047.0,1.8022888305810277e-16,141.37894634260803,38381.0,14.7040381483422,0.80515083237870533,14.682409416491701,144.22356729407238,345.103759765625,2.9710054862578912e-14,1.6586107147001328e-16,0.0049543627572354865,0.87489749057331445,901476042.99000001,8641.3425524227405,0.80314424585743527,901475889.34255791,0.88086359654076352,0.0065664600070611812,0.0049770738653975855,901475735.005,323.068084717,0.254379153252,14.465943713678893,271.56138941654041,25924.02765726822,396.44793701171875,901475734.995,901476042.995,0.0067858570423222631,3.626517144091035e-14,0.0067437086908608279,0.0,0.0066064152877469695,55.011038377246891,176.04452155781723,1.8145790088739728e-16,2.9124062946577254e-14,304.0,323.068450928,0.254100650549,14.9476,0.00691217,0.00136227
6443140357016257781,16390.255878262953,3331.6657730665042,11644.0,3.022976876392637e-16,136.92988079724077,13543.0,14.738754424783213,1.3424397611319572,14.727458325850362,138.36194858486084,254.06254577636719,2.8502561408481332e-14,2.7654259079318315e-16,0.0084477452460518521,1.4674645031032219,901534685.99000001,3195.0937835744712,0.8265152324369669,901534632.2137655,1.4725720549671732,0.011454662783075165,0.0085139900524531242,901534577.0,323.067901611,0.254277020693,14.492030815796069,95.366986585878834,9585.2813507234132,359.14328002929688,901534576.995,901534685.995,0.011739468168766365,3.5404208854619687e-14,0.011613892331073572,0.0,0.011576800730594528,151.54871201049309,171.86509152728004,3.0334984332323771e-16,2.8207555444231597e-14,110.0,323.068267822,0.254035115242,14.9856,0.0120105,0.00137287
6443140358391989831,21355.433516817287,4154.0705453306573,14794.0,2.7036587698665108e-16,141.19994168341813,18050.0,14.705413706627231,1.1995707106185467,14.708848442150025,140.75396029723035,369.28228759765625,2.8995315821229453e-14,2.4711156638742061e-16,0.007404375026350607,1.3124557135274324,901564265.98000002,4208.4012172196235,0.84545362694969572,901564196.45165265,1.3110602943996992,0.010077003171490517,0.0074552174325823728,901564126.995,323.068054199,0.254417151213,14.470549876816435,121.82273424767764,12625.203651658871,298.72964477539062,901564126.995,901564265.995,0.010128299911057681,3.6111644773300805e-14,0.010034690537937152,0.0,0.010171407361438511,105.82656898223466,175.299246472334,2.7007842064633803e-16,2.9087187986784132e-14,140.0,323.068328857,0.254130393267,14.9516,0.0103707,0.00134701
6443140358459099522,20535.733664684518,4189.9837593747216,14261.0,2.7325748210867814e-16,138.83308125375606,16561.0,14.723767593814326,1.2171475360743356,14.701773266131035,141.6741753977694,296.68701171875,2.9184880131940495e-14,2.5073239243131314e-16,0.0075501971821445579,1.326492631595525,901564603.99000001,3855.4826886205515,0.80673873861513912,901564537.35656846,1.3355574168771231,0.010118431835461905,0.0076030690521591282,901564469.995,323.068023682,0.254488140345,14.476004160374675,117.73670769024706,11566.448065861654,396.40432739257812,901564468.995,901564603.995,0.010495213382021973,3.593068990900143e-14,0.010394732458497202,0.0,0.010213617523540108,103.3755406713864,174.42082480097781,2.7512482787668738e-16,2.8599614738273748e-14,136.0,323.06829834,0.254164785147,14.9741,0.0107465,0.00139851
6443140359264404966,21011.805908774306,4166.0365312886579,15146.0,2.7391106993580881e-16,140.52250538274225,18143.0,14.71063528938263,1.2091682182675847,14.725587553899556,138.60055790732335,430.67813110351562,2.8551714928908609e-14,2.4908865296312246e-16,0.0074644683471252193,1.3296653880379068,901646912.98500001,4396.4386568297768,0.86356991814487283,901646844.40956426,1.3236229514731139,0.01036637180867217,0.0075161422511449416,901646776.01499999,323.06817627,0.254491627216,14.470703965229841,119.87951205113156,13189.31597048933,295.92578125,901646775.995,901646912.995,0.010275339311062837,3.6106520148007641e-14,0.010179005132943786,0.0,0.010466302542594619,108.50157020258898,175.27436965052254,2.7266632800346145e-16,2.8947636108844903e-14,138.0,323.068481445,0.254129737616,14.9679,0.0103793,0.00136439
6443140359297959416,20781.939187164298,4160.8165675906839,14834.0,2.6950376951774014e-16,137.5083581089595,17784.0,14.734177258760997,1.1926466094575345,14.738367523308156,136.97868437692736,369.04519653320312,2.8217608981647034e-14,2.4568520154825212e-16,0.0075054946804087308,1.3082707258142725,901647083.99000001,4224.8401089196914,0.85593358160716404,901647014.7660929,1.3065949041442544,0.010320558648336586,0.0075577401574982161,901646945.995,323.067962646,0.254451692104,14.491612968271394,120.87354432959847,12674.520326759073,293.64529418945312,901646945.995,901647083.995,0.010365916769089267,3.5417836850073495e-14,0.010267884816409278,0.0,0.010419603839549652,110.76788029801777,171.93124684501697,2.6915855025371639e-16,2.8326721770445655e-14,139.0,323.06829834,0.254170328379,14.9781,0.0104162,0.00135273
