,objid,flat_counts,mcat_bg,bg_counts,flux_bgsub_err,cps_mcatbgsub,counts,mag_mcatbgsub,cps_err,mag_bgsub,cps_bgsub,detys,flux_bgsub,flux_err,mag_err_1,cps_bgsub_err,t1_data,bg,responses,t_mean,cps_mcatbgsub_err,mag_bgsub_err_1,mag_err_2,t0_data,racent,deccent,mag,exptime,bg_flat_counts,detxs,t0,t1,mag_mcatbgsub_err_2,flux,mag_mcatbgsub_err_1,flags,mag_bgsub_err_2,detrad,cps,flux_mcatbgsub_err,flux_mcatbgsub,mcat_expt,ra,dec,aper4,aper4_err,mcat_bg.1,aper7,aper7_err,legs
27,6443140345507088823,2233.65169478,18.3396873521,1429.0,5.13234158346e-16,17.1226574483,2042.0,15.7360720791,0.36529522306,15.734893576,17.1412531812,355.994873047,2.39977544536e-14,5.11413312284e-16,0.022733275008,0.36659582739,901026494.975,15.933790342,0.91490965987,901026429.661,0.366791809298,0.0229755572318,0.0232194650978,901026364.03,323.068572998,0.254204213619,15.7271207022,129.37898303,1293.69877146,469.838653564,901026362.995,901026494.995,0.0235107479246,2.41701727704e-14,0.0230124134824,0.0,0.0234722794159,82.5462823503,17.2644091217,5.13508533017e-16,2.39717204276e-14,128.0,323.068511963,0.254208803177,15.8008,0.0230996,0.00015076,15.722,0.0220961,8
28,6443140346043958827,1543.25260802,13.9247309659,1081.0,5.72250450573e-16,15.8446263076,1496.0,15.8202949978,0.407005151001,15.8198251644,15.851484276,408.512878418,2.21920779864e-14,5.69807211401e-16,0.0272920380866,0.408750321838,901037284.85,13.2627978844,0.970214623158,901037230.701,0.408837226406,0.0276421823584,0.0279958037047,901037156.145,323.068481445,0.254128724337,15.8104539615,96.5202869017,1076.83513847,208.532089233,901037155.995,901037292.995,0.0283829131867,2.23844511924e-14,0.0276598008028,0.0,0.0283643617559,191.657063403,15.9888937089,5.72372116969e-16,2.21824768306e-14,122.1,323.068511963,0.25415328145,15.7572,0.0230238,0.000153436,15.6676,0.0219133,2
29,6443140350070490627,1602.42724811,13.9426687469,1065.0,5.83359806134e-16,16.4675626601,1642.0,15.7784266884,0.41498794598,15.7778762952,16.4759126932,454.639373779,2.30662777704e-14,5.80983124372e-16,0.0267895996011,0.41668557581,901208757.55,13.1372126506,1.02534022245,901208709.133,0.416789434283,0.0271174301966,0.0274673683583,901208660.065,323.068603516,0.254032671452,15.7689383933,96.4614261474,1066.63860272,236.568435669,901208659.995,901208768.995,0.027833414497,2.3256945672e-14,0.0271376885344,0.0,0.0278121044732,172.323351252,16.6121040515,5.83505207997e-16,2.30545877242e-14,110.0,323.068603516,0.254075706005,15.732,0.0263053,0.000153727,15.6591,0.0253356,2
30,6443140352016648541,1875.12124741,17.9591585763,1394.0,5.01952563835e-16,15.3076712227,1809.0,15.8577271852,0.356922555464,15.8571708806,15.3155165079,486.172943115,2.14417231111e-14,4.9969157765e-16,0.0247880633703,0.358537545597,901297373.905,17.0073504256,0.965584478792,901297313.77,0.358627712844,0.025124230985,0.0253672396877,901297251.115,323.068389893,0.254263550043,15.847278322,121.322313617,1380.86342792,439.997619629,901297249.995,901297381.995,0.0257392999355,2.16379795942e-14,0.0251432083738,0.0,0.0257194123672,95.0030825875,15.4556997102,5.02078797981e-16,2.14307397118e-14,128.0,323.068481445,0.25426197052,15.7598,0.0251451,0.000157436,15.6939,0.0243225,1
31,6443140352889062065,1134.24962655,9.2919182292,585.0,7.37913616786e-16,17.5597056106,952.0,15.7087069234,0.525696828865,15.7055166538,17.6113779948,209.809936523,2.46559291928e-14,7.35975560411e-16,0.0317687952691,0.527081154847,901309887.925,5.98154114832,0.840436103776,901309821.485,0.527845724714,0.0320176319296,0.0327264461029,901309769.02,323.068603516,0.254020869732,15.6997758007,64.0647248463,485.654214655,469.975250244,901309767.995,901309887.995,0.0331378874459,2.47866432109e-14,0.0321563651597,0.0,0.0329905744744,202.654375457,17.7047451507,7.389840146e-16,2.45835878548e-14,58.95,323.068572998,0.254014968872,15.7247,0.0362893,0.000154257,15.6391,0.0348389,5
32,6443140355439200378,1867.11147932,14.7837964445,948.0,5.90473116522e-16,18.0384538531,1385.0,15.6795017257,0.420791169124,15.6759214177,18.0980353818,213.676986694,2.53372495345e-14,5.89107636773e-16,0.0248405729555,0.421766511802,901452150.965,8.66550516176,0.742211378359,901452099.235,0.42245379755,0.0250122594845,0.0254222345614,901452047.0,323.06854248,0.254189103842,15.6708706462,102.687719134,703.571036222,581.788208008,901452045.995,901452150.995,0.0257300167852,2.54553912882e-14,0.0251343501631,8.0,0.0256020850621,260.313691261,18.1824223487,5.9143531657e-16,2.52538353943e-14,106.0,323.068511963,0.254216343164,15.7241,0.0259022,0.000153118,15.6605,0.0249852,8
33,6443140355774745578,1850.76659846,17.0528789938,750.0,4.92556686358e-16,14.9695060602,1342.0,15.8819813239,0.351197780533,15.8758270606,15.0545984376,594.470703125,2.10764378126e-14,4.91676892746e-16,0.0249487725762,0.351826204541,901458294.965,6.62935137213,0.726365669145,901458231.311,0.352812030815,0.0250817206439,0.0255355724634,901458171.015,323.068664551,0.254272460938,15.8719310272,122.496608245,538.251322606,623.921691895,901458169.995,901458294.995,0.0258957860874,2.11522039261e-14,0.0252925090416,104.0,0.0256748657597,296.580138369,15.1087170901,4.93936843141e-16,2.09573084843e-14,126.0,323.068664551,0.254239857197,15.7812,0.0258042,0.000148058,15.7047,0.0247136,8
34,6443140356546497719,2316.21949797,18.3288434384,1340.0,5.22179167533e-16,17.7589520636,1866.0,15.6964566626,0.371944235841,15.6939332507,17.8002745028,445.154205322,2.49203843039e-14,5.20721930178e-16,0.0223285794617,0.372985119667,901470295.865,12.981993776,0.806376320509,901470230.571,0.373412981354,0.0225153280327,0.0227974342701,901470165.055,323.06854248,0.254305034876,15.6878307768,129.393369964,1054.03604783,580.956481934,901470163.995,901470295.995,0.0230729333425,2.50608458383e-14,0.0225927970914,8.0,0.0229921423546,186.505095405,17.9006041702,5.22778173895e-16,2.4862532889e-14,128.0,323.068481445,0.254285365343,15.7532,0.0239351,0.000150654,15.6689,0.0228503,9
35,6443140356647160900,5141.24020966,42.7748737505,3497.0,3.37955707705e-16,17.0947225041,5136.0,15.7378448616,0.240412216341,15.7377230509,17.0966404989,384.724395752,2.39352966985e-14,3.36577102877e-16,0.015037629318,0.241396934075,901475702.945,42.2028357867,0.999671500088,901475550.938,0.241410253831,0.0152228915941,0.0152488316282,901475401.235,323.068511963,0.254268616438,15.7287738001,298.247914507,3426.53917477,370.659606934,901475399.995,901475702.995,0.0154419702331,2.41334002466e-14,0.0152254218508,0.0,0.0154393674947,33.0787356233,17.2381430333,3.37974355364e-16,2.39326115057e-14,304.0,323.068511963,0.254272967577,15.7928,0.0143833,0.000152535,15.7092,0.0137217,3
36,6443140356714270483,5897.28251578,49.8243851013,3840.0,3.28250375743e-16,17.7879248352,5561.0,15.6946867859,0.233606074491,15.6934989454,17.8073962138,370.649169922,2.49303546994e-14,3.27048504287e-16,0.0140470752563,0.234464554102,901476408.965,43.4235220255,0.943454609982,901476242.41,0.234590832987,0.0142022628293,0.0142311987515,901476076.03,323.068603516,0.25431740284,15.6854747539,328.7318889,3525.64932079,445.586547852,901476075.995,901476408.995,0.0144141725576,2.511528635e-14,0.0142253153368,8.0,0.0143905043906,54.2181203224,17.93949025,3.28427166182e-16,2.49030947693e-14,334.0,323.068511963,0.254331558943,15.7496,0.0144637,0.000161197,15.6703,0.0138486,5
