ix,skypos,band,theCount
2418,269.948991861_53.6940514305,FUV,7704
2420,289.42592094_73.8257237599,FUV,7967
2401,164.511117877_58.1712494648,FUV,116528
2430,154.302778319_82.8344029332,FUV,8743
2526,125.635534999_84.2314072992,FUV,7588
2428,96.1459270864_83.0627065152,FUV,14216
2411,107.039297343_74.1940546473,FUV,18988
2421,11.6363039845_72.9600604993,FUV,8384
2431,154.302778319_82.8344029332,FUV,8749
2441,154.356759_86.6526066697,FUV,11832
2536,239.076919928_55.6760369552,FUV,90958
2451,325.687017724_88.5714372955,FUV,7801
2440,275.836097187_64.7622441372,FUV,92491
2438,275.836097187_64.7622441372,FUV,92955
2461,342.429762776_73.8719890397,FUV,8855
2448,268.897858419_88.6473925112,FUV,9231
2450,170.641413562_87.8237523404,FUV,15379
2471,89.946244881_66.7356986591,FUV,8303
2458,1.08646438305_78.1350625025,FUV,8055
2460,342.429762776_73.8719890397,FUV,8587
2546,239.076919928_55.6760369552,FUV,84189
2481,131.960391786_72.3928597667,FUV,9220
2468,256.004085156_78.8333761191,FUV,7605
2470,144.314543654_69.0984197765,FUV,8229
2491,117.356332237_69.5193200083,FUV,8128
2478,111.811410646_87.2171647422,FUV,8626
2556,351.126012337_71.7314289076,FUV,7911
2501,112.119917088_79.2326733749,FUV,8295
2488,11.1416422576_87.5630597017,FUV,8197
2480,327.878219223_74.6655516455,FUV,7636
2490,258.076318907_74.3177111001,FUV,7961
2511,81.8315050625_60.5434149849,FUV,7861
2015,201.12833824_71.2867629831,FUV,7569
2009,193.974024241_62.8726091788,FUV,8094
2012,73.6028099033_57.9794579778,FUV,8049
2019,322.058398861_75.0795764322,FUV,7917
2025,249.075761022_71.6937586407,FUV,10054
2022,35.4048601799_70.3081369295,FUV,8757
2029,270.05195338_78.9278368245,FUV,8099
2035,161.241669423_68.819200642,FUV,8026
2032,37.161362368_73.9843327222,FUV,8679
2045,206.682337977_62.1455578429,FUV,8234
2055,185.360080341_54.6901217141,FUV,7723
2039,244.380791858_56.0375121242,FUV,103374
2042,244.380791858_56.0375121242,FUV,91567
2052,249.984056782_81.3035148367,FUV,8434
2049,149.060155615_75.267233492,FUV,7898
2062,270.33927625_77.5014747129,FUV,8064
2059,59.5275109621_80.2596410826,FUV,8091
2065,97.1740410354_71.3917305532,FUV,127270
2072,97.1740410354_71.3917305532,FUV,127214
2069,97.1740410354_71.3917305532,FUV,126929
2075,97.1740410354_71.3917305532,FUV,127107
2085,347.342416973_73.386182497,FUV,7810
2082,97.1740410354_71.3917305532,FUV,127550
2092,208.220261179_77.3279583434,FUV,7611
2079,97.1740410354_71.3917305532,FUV,127336
2102,222.172168903_85.6211327227,FUV,8025
2095,146.929248994_60.9415226168,FUV,8382
2105,224.409641685_73.1037735316,FUV,11600
2112,23.7600621799_75.5123598388,FUV,19746
2122,193.979183163_63.1401923438,FUV,8094
2115,271.395427846_76.0718378288,FUV,8041
2132,201.970878932_60.9522022128,FUV,7864
2142,4.52015285728_79.0712174675,FUV,8269
2089,223.810459275_57.1727199638,FUV,112781
2125,303.131121249_76.2863097447,FUV,28066
2152,86.3451932931_85.4218587131,FUV,8133
2099,325.216627402_76.8221515635,FUV,8172
2109,49.3688698664_86.8148726551,FUV,7780
2162,136.850822144_59.0835061883,FUV,10242
2172,95.3710407586_81.7528109804,FUV,8109
2119,9.43595527598_78.8822629323,FUV,8130
2135,268.963791385_61.5883753031,FUV,7695
2182,230.205917117_79.4826421186,FUV,9915
2192,222.040208521_86.9184406424,FUV,7877
2145,73.185564478_74.8219336845,FUV,8500
2129,303.131121249_76.2863097447,FUV,33402
2202,197.837251743_78.0706390884,FUV,11204
2155,56.4449020726_75.7644192182,FUV,8186
2139,38.6978864782_77.1617589896,FUV,7732
2212,182.038379644_85.0931168748,FUV,18729
2165,268.320395126_79.1949333129,FUV,7996
2175,133.230311249_88.3996609524,FUV,39165
2185,188.881311285_53.3125894524,FUV,8032
2195,200.39514775_71.72521284,FUV,7569
2149,209.289213818_67.6205780633,FUV,107902
2205,333.425313614_84.1663227058,FUV,7698
2159,355.901815588_72.452130243,FUV,8158
2169,240.923841643_81.7707526073,FUV,8021
2222,47.1588641319_80.0351674195,FUV,127154
2179,23.9531332875_84.7400621823,FUV,13577
2232,176.491268143_76.1747264904,FUV,8821
2189,84.3703510037_74.1001457608,FUV,8074
2199,174.956640155_73.8449160825,FUV,8070
2242,66.2436725859_70.4717177344,FUV,8750
2215,297.761569621_74.0581996861,FUV,63827
2209,45.4786269983_65.8253105546,FUV,8665
2252,135.568913308_70.084339476,FUV,7760
2219,119.542886772_60.6143660472,FUV,8343
2229,196.684853767_81.4848073087,FUV,7968
2239,113.488129114_67.0893255975,FUV,7894
2262,211.260002636_68.8947789051,FUV,7966
2249,244.464781164_82.239020696,FUV,8345
2225,124.105194966_54.5957743451,FUV,8157
2235,213.653306951_76.7707394994,FUV,18496
2259,226.107431391_55.9318123159,FUV,39917
2245,220.331223736_78.6187720976,FUV,8207
2269,144.532650049_56.2481395307,FUV,8912
2255,217.697796351_72.8447085046,FUV,8018
2272,223.890972451_59.7025584881,FUV,86465
2265,116.165158861_79.3928977998,FUV,7992
2279,287.149969425_83.5675803193,FUV,22004
2275,244.008320916_83.8288621345,FUV,7993
2282,90.8520125417_84.5337282841,FUV,19779
2289,307.763259371_76.7147296718,FUV,12511
2292,263.931309104_59.0968090593,FUV,8184
2285,90.8520125417_84.5337282841,FUV,14532
2302,57.9497172536_87.8695626587,FUV,15528
2295,204.788876654_72.4856216826,FUV,29710
2312,69.4665835269_71.6112506208,FUV,8164
2305,112.417141573_85.6057059935,FUV,7942
2299,65.3806264791_86.0375176739,FUV,127175
2315,179.850301444_66.98608912,FUV,8067
2309,92.5625857616_88.783185866,FUV,10263
2325,36.7082133933_73.603826151,FUV,7478
2319,89.2920810158_78.6533516578,FUV,8262
2322,222.006624176_62.159382398,FUV,82373
2329,54.9617918735_62.3812858873,FUV,7590
2339,270.550014169_55.3273569867,FUV,7959
2335,195.843642773_59.3153644633,FUV,95975
2345,8.03895407705_87.600681844,FUV,9833
2349,311.9789787_64.9705550483,FUV,10641
2355,92.544947576_84.3834521329,FUV,8178
2365,196.585489491_82.0745209133,FUV,7968
2359,227.629194275_84.1215490767,FUV,8709
2375,209.367866644_61.1507258045,FUV,7933
2369,128.053861554_79.1036119216,FUV,11610
2332,195.843642773_59.3153644633,FUV,83602
2379,164.511117877_58.1712494648,FUV,8927
2342,282.70657016_55.5774418453,FUV,7529
2352,219.686692553_85.5710613778,FUV,8025
2385,164.511117877_58.1712494648,FUV,128204
2389,164.511117877_58.1712494648,FUV,127180
2362,108.089402232_62.0647831213,FUV,18815
2395,164.511117877_58.1712494648,FUV,125921
2372,131.955515008_60.2073901543,FUV,17486
2399,164.511117877_58.1712494648,FUV,124586
2382,164.511117877_58.1712494648,FUV,121981
2405,164.511117877_58.1712494648,FUV,127271
2409,287.497528114_75.0896123082,FUV,16618
2007,67.053676096_60.5719994594,FUV,7976
2017,112.832704137_68.8405261211,FUV,93304
2003,108.839726147_69.1069285269,FUV,127160
2013,241.368303664_82.0574004692,FUV,8170
2023,35.4048601799_70.3081369295,FUV,7690
2033,37.161362368_73.9843327222,FUV,7478
2027,113.585627162_67.3150280914,FUV,128232
2037,244.380791858_56.0375121242,FUV,101001
2047,36.840394378_82.6095589919,FUV,8347
2043,176.966337341_68.0321765928,FUV,128258
2057,143.163661315_83.7846252865,FUV,8118
2053,149.10453703_59.2613415236,FUV,9003
2063,125.603403112_67.3383667573,FUV,58876
2067,97.1740410354_71.3917305532,FUV,127135
2073,97.1740410354_71.3917305532,FUV,127183
2077,97.1740410354_71.3917305532,FUV,127325
2087,238.838939215_88.9976955254,FUV,10083
2097,85.3297128875_68.4198772872,FUV,8069
2083,97.1740410354_71.3917305532,FUV,126664
2093,208.220261179_77.3279583434,FUV,7532
2107,334.597404148_86.9829699238,FUV,112702
2103,189.740916813_57.9563057024,FUV,19209
2113,23.7600621799_75.5123598388,FUV,9583
2117,44.73754631_71.1028481788,FUV,8199
2123,199.015912327_53.3792514578,FUV,8318
2133,83.8707385828_73.3313823803,FUV,13657
2127,303.131121249_76.2863097447,FUV,64151
2137,21.5703682244_85.1953980547,FUV,8626
2143,4.52015285728_79.0712174675,FUV,10090
2147,267.777307467_55.4295556496,FUV,7624
2153,177.757097137_68.9983965315,FUV,8152
2157,204.786517351_69.4492477963,FUV,8735
2163,198.341358882_69.6584056458,FUV,7923
2167,240.923841643_81.7707526073,FUV,8345
2173,95.3710407586_81.7528109804,FUV,7965
2177,270.991999346_80.6898379756,FUV,10000
2183,230.205917117_79.4826421186,FUV,10261
2187,277.984090636_63.4805735214,FUV,7536
2197,230.963835221_53.1725503412,FUV,85420
2193,342.063402929_71.5450087124,FUV,69703
2207,142.155220652_87.8212873244,FUV,10745
2203,197.837251743_78.0706390884,FUV,10143
2217,5.40683306716_82.7898669895,FUV,8676
2213,7.74892989871_82.3162181143,FUV,19644
2227,304.104400341_85.5830164481,FUV,15448
2237,113.488129114_67.0893255975,FUV,8126
2223,291.416649166_82.7263240739,FUV,8903
2233,176.491268143_76.1747264904,FUV,8062
2247,151.2697248_62.1113827918,FUV,8442
2243,66.2436725859_70.4717177344,FUV,8311
2253,217.697796351_72.8447085046,FUV,8257
2263,270.007834933_76.7470352543,FUV,7534
2273,223.890972451_59.7025584881,FUV,10277
2283,90.8520125417_84.5337282841,FUV,18933
2293,186.844185887_86.047148903,FUV,7958
2257,206.896141695_59.5017951505,FUV,112341
2303,168.076808195_66.7370333517,FUV,7861
2313,69.4665835269_71.6112506208,FUV,7464
2267,137.556990731_77.1575571759,FUV,29613
2323,84.1198101261_87.8973167387,FUV,8364
2277,71.4851598338_64.9787715435,FUV,8101
2333,195.843642773_59.3153644633,FUV,70315
2343,8.03895407705_87.600681844,FUV,8582
2287,307.763259371_76.7147296718,FUV,18469
2297,123.368006863_71.1041476607,FUV,8956
2353,263.422296266_65.0271017336,FUV,7839
2307,112.417141573_85.6057059935,FUV,8499
2363,229.177584001_81.7045227152,FUV,8204
2317,74.9499978272_88.2243960881,FUV,8364
2373,159.085541069_65.083767145,FUV,9002
2327,171.770755338_53.3496638431,FUV,9081
2383,164.511117877_58.1712494648,FUV,128405
2337,195.843642773_59.3153644633,FUV,108780
2347,193.838613334_63.779495582,FUV,8242
2357,92.544947576_84.3834521329,FUV,14532
2393,164.511117877_58.1712494648,FUV,126273
2415,303.782554415_63.7179931545,FUV,9299
2392,164.511117877_58.1712494648,FUV,124529
2419,184.010932187_56.3905472482,FUV,8115
2425,341.117618902_71.9236028375,FUV,9378
2429,96.1459270864_83.0627065152,FUV,14297
2403,164.511117877_58.1712494648,FUV,120899
2367,189.513336206_68.855990414,FUV,128271
2439,275.836097187_64.7622441372,FUV,7450
2413,213.635681807_62.203168689,FUV,19039
2449,162.865737629_73.8467633358,FUV,8894
2423,255.379410443_71.3283941038,FUV,7968
2377,89.1838446344_56.5553559066,FUV,8019
2402,164.511117877_58.1712494648,FUV,119112
2433,289.066765455_80.6828460237,FUV,7830
2459,1.08646438305_78.1350625025,FUV,7795
2443,225.538617105_83.9412202304,FUV,8709
2469,263.448147291_76.1541789448,FUV,8127
2412,107.039297343_74.1940546473,FUV,18916
2435,275.836097187_64.7622441372,FUV,120243
2387,164.511117877_58.1712494648,FUV,127866
2422,11.6363039845_72.9600604993,FUV,7495
2445,28.2192839478_86.7446947654,FUV,8653
2453,13.3419772635_73.6078431087,FUV,16837
2479,113.208124027_64.7394842272,FUV,19782
2489,11.1416422576_87.5630597017,FUV,9833
2432,228.16323382_58.7004464733,FUV,8017
2463,52.400963217_65.4956259661,FUV,7871
2455,45.2308972096_54.656377596,FUV,9025
2473,62.4348614834_87.7947093568,FUV,8364
2442,225.538617105_83.9412202304,FUV,8861
2397,164.511117877_58.1712494648,FUV,125932
2483,156.093237818_69.0995368936,FUV,8296
2499,3.36548806795_73.0346356428,FUV,17392
2465,67.5474022449_55.262689438,FUV,8696
2493,201.065958332_76.5528464728,FUV,8133
2407,183.06584662_82.7175072809,FUV,11199
2503,186.21633546_81.5261850255,FUV,9235
2452,13.3419772635_73.6078431087,FUV,18942
2475,292.539811692_84.6386995161,FUV,17168
2417,137.165804662_85.4097826797,FUV,20863
2485,184.42536922_86.769054643,FUV,7870
2462,342.429762776_73.8719890397,FUV,7942
2427,96.1459270864_83.0627065152,FUV,8364
2314,179.850301444_66.98608912,FUV,127953
2324,36.7082133933_73.603826151,FUV,8679
2334,195.843642773_59.3153644633,FUV,61604
2344,8.03895407705_87.600681844,FUV,8197
2354,92.544947576_84.3834521329,FUV,8579
2364,229.177584001_81.7045227152,FUV,8299
2374,159.085541069_65.083767145,FUV,127811
2384,164.511117877_58.1712494648,FUV,126501
2394,164.511117877_58.1712494648,FUV,126217
2404,164.511117877_58.1712494648,FUV,111217
2414,303.782554415_63.7179931545,FUV,8450
2424,167.400533363_64.1278635901,FUV,12634
2434,289.066765455_80.6828460237,FUV,9205
2444,51.6322975213_75.2652576435,FUV,8312
2454,45.2308972096_54.656377596,FUV,9209
