objid,t0,t1,t_raw,t_eff,ra,dec,racent,deccent,aper4,aper4_err,mag_bgsub_cheese,mag_bgsub,mag,distance,response,skybg,bg,bg_cheese,bg_eff_area
6384919063638838942,840787412.995,840787492.995,80.0,76.261519395275599,23.9263,-72.0813,23.926560804000001,-72.082006164066669,-80.1829,-99.0,22.677820496528746,23.18964625727358,22.087770051052534,148.77598957938193,0.79792372614834761,0.000240803,2.3972364901840604,1.5764620503128817,0.0017209226348635944
6384919063672393330,844425942.995,844426003.995,62.0,56.83426202156879,23.9076,-72.0804,23.90725555845,-72.08095894249999,-80.1829,-99.0,22.820413406106539,23.485772248914881,22.221567004175739,159.45954718008679,0.80737925975624869,0.000248538,1.7041106207546723,1.0502588586810433,0.0017166656259350519
6384919063640935642,840787412.995,840787492.995,80.0,76.237483375095636,23.0627,-72.1288,23.062561034621428,-72.128965677714291,20.7272,0.318477,20.820037694916856,21.355808766924422,20.55633602009009,101.42723824178387,0.91013320751551174,0.000244617,8.0276125274260615,3.3216151225855421,0.0016942372820521055
6384919063674490185,844425942.995,844426003.995,62.0,56.872739972554925,23.0631,-72.1289,23.063471225993748,-72.129035948587486,20.3186,0.29372,20.283209907983789,20.61543945899362,20.089070789156391,98.740501979748785,0.90576490546387478,0.000258975,6.7891062244269076,2.8934444925105578,0.0016942728905695798
6384919063674490050,844425942.995,844426003.995,62.0,56.863224547697371,23.1075,-72.1432,23.107977217936067,-72.143172868106376,16.0187,0.0387122,16.007373020082433,16.00931988030862,16.004765030529082,87.55553697090005,0.90436064499284863,0.00025834,3.1824717581197621,1.8238348306389447,0.0016990127641923743
6384919063640935629,840787412.995,840787492.995,80.0,76.237443611458332,23.1077,-72.1433,23.108223092871537,-72.143301749169439,16.0272,0.0347653,16.014378186946811,16.016239068952412,16.012157104537884,89.410337164801348,0.91971366137417832,0.000245253,3.7986933857812839,2.0687199140156411,0.0016985342787204209
6384919063672393346,844425942.995,844426003.995,62.0,56.863010772260118,23.8644,-72.0786,23.861134104599998,-72.078263436699999,-80.1829,-99.0,22.845806242375122,23.951594854030951,22.203165084464874,154.87183509708348,0.79410482148669437,0.000248962,2.0172244428674557,1.1261623159398491,0.0017111190962569051
6384919063638838964,840787412.995,840787492.995,80.0,76.256576942282294,23.8238,-72.0788,23.8239137138,-72.078761603040007,-80.1829,-99.0,21.938391771498658,22.224861579784005,21.574942725695685,137.84528522346559,0.83026199607957685,0.000242233,2.7159139454870007,1.7153607410742586,0.0016391155555114138
6384919063640935925,840787412.995,840787492.995,80.0,77.217125975853591,23.4757,-72.1153,23.475697004871428,-72.115385640414289,20.7772,0.329668,20.901285476139424,21.727924524518027,20.579024477800711,91.861611148312548,0.91672978622378776,0.000246048,9.9760424708507447,3.923991800662209,0.0016140538300506533
6384919063674490317,844425942.995,844426003.995,62.0,56.84873934950221,23.4766,-72.1157,23.47594527209333,-72.115346025546657,20.161,0.274373,20.312032794411646,20.715991018627307,20.131113848842936,99.803709830373123,0.88311652890779546,0.0002523,7.0774810633766698,2.6082761555613914,0.0016046600030036186
