tilename,tilenum,img,subvis,avaspra,avaspdec,fexptime,nexptime,minPhotoObsDate,maxPhotoObsdate,minmjd,maxmjd
MISKEP_10903_0014,40498,7,-999,280.444113804345,42.4811775408963,0,1090.55,2011-07-22 02:23:48.000,2011-07-22 20:28:42.000,55764.0998611111,55764.8532638889
AIS_8,50008,1,38,280.583841495357,49.7160009299715,172,172,2006-09-04 05:37:15.000,2007-07-18 01:58:32.000,53982.2342013889,54299.0823148148
MISKEP_10559_0009,40403,7,-999,280.703273754991,48.8151208033756,0,1513.1,2011-06-20 14:27:08.000,2011-06-20 14:52:21.000,55732.6021759259,55732.6196875
AIS_8,50008,1,47,280.725137205029,48.8083488218797,176,352,2006-09-04 05:59:05.000,2011-07-26 14:43:54.000,53982.2493634259,55768.6138194445
AIS_8,50008,1,57,280.871516822018,47.8672962559916,164,370,2006-09-04 07:13:28.000,2011-07-26 14:39:37.000,53982.3010185185,55768.6108449074
KEPLER_10605_0009_css33466,52397,1,-999,280.899710050598,47.8877831111397,0,1026.6,2009-08-06 07:42:33.000,2009-08-06 07:59:39.000,55049.3212152778,55049.3330902778
KEPLER_10652_0009,7416,7,-999,280.908879357007,46.9195659143598,0,115.1,2011-06-21 03:35:31.000,2011-06-21 03:37:26.000,55733.1496643518,55733.1509953704
AIS_8,50008,1,67,281.031061332061,46.9534747200055,158.95,350.95,2006-09-04 07:20:41.000,2011-07-26 14:37:27.000,53982.3060300926,55768.6093402778
MISKEP_10652_0009,40484,7,-999,281.036493941199,46.9568410585916,0,867.55,2011-06-20 11:10:28.000,2011-06-20 11:24:55.000,55732.4656018519,55732.4756365741
NGA_NGC6703,5333,1,-999,281.066827286604,45.2442562461578,1921.1,5275.1,2003-08-05 19:40:18.000,2006-06-16 14:43:43.000,52856.8196527778,53902.6136921296
AIS_8,50008,1,76,281.170394938859,46.0272364537869,0,196.05,2011-06-21 20:00:58.000,2011-07-26 14:35:15.000,55733.8340046296,55768.6078125
MISKEP_10700_0009,40487,7,-999,281.172488643474,46.015973621947,0,1441.2,2011-06-22 04:14:08.000,2011-07-23 01:28:42.000,55734.1764814815,55765.0615972222
MISKEP_10652_0009_css43919,52937,1,-999,281.191870957487,47.0463321798925,0,147.1,2011-07-22 23:40:09.000,2011-07-22 23:42:36.000,55764.9862152778,55764.9879166667
AIS_13,50013,1,15,281.290092270457,45.0555214840131,105,105,2006-09-07 02:50:43.000,2006-09-07 02:52:28.000,53985.1185532407,53985.1197685185
MISKEP_10749_0014,40491,7,-999,281.328455275707,45.0851448074631,0,1299.95,2011-07-29 16:32:47.000,2011-07-29 18:22:31.000,55771.6894328704,55771.7656365741
AIS_13,50013,1,20,281.393414554238,44.1367823698836,106,106,2006-09-07 02:53:04.000,2006-09-07 02:54:50.000,53985.1201851852,53985.121412037
MISKEP_10799_0014,40494,7,-999,281.451201323498,44.1690651345745,0,1296.95,2011-07-29 19:50:05.000,2011-07-30 00:56:53.000,55771.8264467593,55772.0395023148
AIS_13,50013,1,26,281.588215826856,43.2378097315885,110,110,2006-09-07 03:00:09.000,2006-09-07 03:01:59.000,53985.1251041667,53985.1263773148
MISGCSN1_10469_0009,61232,7,-999,281.938920370742,50.3485991913879,0,1998.95,2011-06-20 12:48:51.000,2011-07-24 02:10:31.000,55732.5339236111,55766.0906365741
KEPLER_11009_0014,7401,7,-999,281.941639215201,40.3570306444501,0,1860.5,2011-06-22 12:26:26.000,2011-07-21 16:41:12.000,55734.5183564815,55763.6952777778
AIS_8,50008,1,28,281.946035895804,50.3474336066853,164,164,2006-09-04 05:34:52.000,2007-07-18 01:56:54.000,53982.2325462963,54299.0811805556
GI4_056017_KEPLER_08,24115,1,-999,281.992882091697,43.370374586629,4702.1,4702.1,2008-05-22 18:54:07.000,2008-07-12 09:39:55.000,54608.7875810185,54659.4027199074
GI5_055005_KEPLER_08B,25134,7,-999,281.997564982731,44.4715048024855,899.55,4646.65,2009-05-12 07:53:27.000,2011-06-09 05:49:43.000,54963.3287847222,55721.2428587963
AIS_8,50008,1,37,282.076853990679,49.4460448549665,172,172,2006-09-04 06:01:32.000,2007-07-18 02:15:22.000,53982.2510648148,54299.0940046296
MISKEP_10513_0009,40476,7,-999,282.082278261919,49.4366571747084,0,1306.85,2011-06-14 20:28:16.000,2011-07-23 21:08:05.000,55726.852962963,55765.8806134259
MISKEP_10558_0009,40479,7,-999,282.195709522993,48.5115590186778,0,1615.4,2011-06-17 20:45:28.000,2011-07-25 01:05:11.000,55729.8649074074,55767.0452662037
AIS_8,50008,1,46,282.195828069394,48.5075604510271,0,179.05,2011-06-21 20:08:11.000,2011-07-26 14:41:48.000,55733.8390162037,55768.6123611111
AIS_8,50008,1,56,282.334725920028,47.5859255656325,160,160,2006-09-04 07:23:07.000,2007-07-17 12:54:06.000,53982.3077199074,54298.5375694444
AIS_8,50008,1,66,282.417717386789,46.6859515051003,175,175,2006-09-04 07:37:42.000,2007-07-17 13:03:52.000,53982.3178472222,54298.5443518519
MISKEP_10651_0009,40483,7,-999,282.471045347535,46.6903411378954,0,639.5,2011-07-30 02:24:36.000,2011-07-30 02:35:15.000,55772.1004166667,55772.1078125
GI4_056020_KEPLER_03,24118,1,-999,282.499500492618,47.4701370459365,6434,6434,2008-05-18 06:24:53.000,2008-08-16 01:10:50.000,54604.2672800926,54694.0491898148
AIS_13,50013,1,19,282.739381726498,43.8492939563474,107,107,2006-09-07 02:55:26.000,2006-09-07 02:57:13.000,53985.1218287037,53985.1230671296
KEPLER_10798_0014,7402,7,-999,282.764889883271,43.8938295775379,0,1567,2011-06-21 15:05:20.000,2011-06-21 15:31:27.000,55733.6287037037,55733.6468402778
AIS_13,50013,1,25,282.803997144686,42.9443325047905,108,108,2006-09-07 02:57:48.000,2006-09-07 02:59:36.000,53985.1234722222,53985.1247222222
KEPLER_10849_0014,7403,1,-999,282.862400402493,42.9638754991449,0,1889.05,2009-07-31 18:45:59.000,2009-08-03 04:13:45.000,55043.7819328704,55046.1762152778
MISKEP_11008_0014,40499,7,-999,283.151806531047,40.1355822631012,0,279.2,2011-07-22 15:14:47.000,2011-07-22 15:19:26.000,55764.6352662037,55764.6384953704
MISKEP_11063_0014,40500,7,-999,283.230720400031,39.1730816396221,0,1174.8,2011-07-06 21:44:15.000,2011-07-23 14:30:19.000,55748.9057291667,55765.6043865741
GI5_055010_KEPLER_13B,25139,1,-999,283.327656276111,40.479945129608,862.7,4966,2009-05-12 06:15:04.000,2009-07-29 09:27:01.000,54963.260462963,55041.3937615741
MISKEP_10512_0009,40475,7,-999,283.565711735299,49.1374555319791,0,1726.2,2011-06-14 23:46:00.000,2011-07-26 00:04:14.000,55726.9902777778,55768.0029398148
AIS_8,50008,1,36,283.590800129518,49.1490378416637,173,173,2006-09-04 07:27:59.000,2007-07-17 12:57:25.000,53982.311099537,54298.5398726852
MISKEP_10557_0009,40478,7,-999,283.663136916104,48.2094839055502,0,2191.7,2011-06-16 16:49:53.000,2011-07-27 18:44:09.000,55728.7013078704,55769.7806597222
AIS_8,50008,1,45,283.673099574674,48.2062372487872,157.05,157.05,2006-09-04 07:25:33.000,2007-07-17 12:55:48.000,53982.3094097222,54298.53875
AIS_8,50008,1,55,283.725742181242,47.3236366825549,172,172,2006-09-04 07:35:18.000,2007-07-17 13:02:14.000,53982.3161805556,54298.5432175926
MISKEP_10603_0009,40480,7,-999,283.737549014041,47.3239538592513,0,1369.85,2011-06-23 03:13:20.000,2011-07-24 00:25:19.000,55735.1342592593,55766.0175810185
KEPLER_10603_0009_css33473,52396,1,-999,283.809798895715,47.2936298117362,0,753.4,2009-08-06 19:20:02.000,2009-08-06 19:32:35.000,55049.8055787037,55049.8142939815
AIS_8,50008,1,65,283.812923733889,46.3950805309236,264.05,264.05,2006-07-17 10:08:47.000,2007-07-17 13:05:50.000,53933.4227662037,54298.5457175926
KEPLER_10747_0014,7423,1,-999,283.825464443382,44.4897639998139,0,358.15,2009-08-05 03:46:37.000,2009-08-05 03:52:35.000,55048.1573726852,55048.1615162037
MISKEP_10650_0009,40482,7,-999,283.859837431866,46.4166721639917,0,693.5,2011-07-30 05:41:28.000,2011-07-30 05:53:01.000,55772.2371296296,55772.245150463
KEPLER_10650_0009_css33487,52398,1,-999,283.865440470235,46.4005581178726,0,822.5,2009-08-07 18:17:15.000,2009-08-07 18:30:57.000,55050.7619791667,55050.7714930556
