#partition,minZoneID,maxZoneID,minZone,maxZone,partitionHeightInZones,DB
249,8251,8273,8251,8273,22,2
250,8274,8295,8274,8295,21,2
251,8296,8316,8296,8316,20,2
252,8317,8339,8317,8339,22,2
253,8340,8363,8340,8363,23,2
254,8364,8388,8364,8388,24,2
255,8389,8412,8389,8412,23,2
256,8413,8436,8413,8436,23,2
257,8437,8461,8437,8461,24,2
258,8462,8485,8462,8485,23,2
259,8486,8509,8486,8509,23,2
260,8510,8532,8510,8532,22,2
261,8533,8556,8533,8556,23,2
262,8557,8580,8557,8580,23,2
263,8581,8600,8581,8600,19,2
264,8601,8617,8601,8617,16,3
265,8618,8633,8618,8633,15,3
266,8634,8650,8634,8650,16,3
267,8651,8666,8651,8666,15,3
268,8667,8683,8667,8683,16,3
269,8684,8701,8684,8701,17,3
270,8702,8720,8702,8720,18,3
271,8721,8743,8721,8743,22,3
272,8744,8768,8744,8768,24,3
273,8769,8792,8769,8792,23,3
274,8793,8818,8793,8818,25,3
275,8819,8842,8819,8842,23,3
276,8843,8867,8843,8867,24,3
277,8868,8891,8868,8891,23,3
278,8892,8916,8892,8916,24,3
279,8917,8941,8917,8941,24,3
280,8942,8966,8942,8966,24,3
281,8967,8992,8967,8992,25,3
282,8993,9018,8993,9018,25,3
283,9019,9043,9019,9043,24,3
284,9044,9066,9044,9066,22,3
285,9067,9087,9067,9087,20,3
286,9088,9107,9088,9107,19,3
287,9108,9127,9108,9127,19,3
288,9128,9145,9128,9145,17,3
289,9146,9163,9146,9163,17,3
290,9164,9180,9164,9180,16,3
291,9181,9198,9181,9198,17,3
292,9199,9218,9199,9218,19,3
293,9219,9238,9219,9238,19,3
294,9239,9257,9239,9257,18,3
295,9258,9277,9258,9277,19,3
296,9278,9297,9278,9297,19,3
297,9298,9316,9298,9316,18,3
298,9317,9335,9317,9335,18,3
299,9336,9352,9336,9352,16,3
300,9353,9367,9353,9367,14,3
301,9368,9384,9368,9384,16,3
302,9385,9401,9385,9401,16,3
303,9402,9419,9402,9419,17,3
304,9420,9437,9420,9437,17,3
305,9438,9455,9438,9455,17,3
306,9456,9472,9456,9472,16,3
307,9473,9489,9473,9489,16,3
308,9490,9507,9490,9507,17,3
309,9508,9523,9508,9523,15,3
310,9524,9537,9524,9537,13,3
311,9538,9550,9538,9550,12,3
312,9551,9564,9551,9564,13,3
313,9565,9577,9565,9577,12,3
314,9578,9591,9578,9591,13,3
315,9592,9605,9592,9605,13,3
316,9606,9618,9606,9618,12,3
317,9619,9632,9619,9632,13,3
318,9633,9646,9633,9646,13,3
319,9647,9660,9647,9660,13,3
320,9661,9675,9661,9675,14,3
321,9676,9690,9676,9690,14,3
322,9691,9706,9691,9706,15,3
323,9707,9722,9707,9722,15,3
324,9723,9738,9723,9738,15,3
325,9739,9755,9739,9755,16,3
326,9756,9773,9756,9773,17,3
327,9774,9791,9774,9791,17,3
328,9792,9808,9792,9808,16,3
329,9809,9824,9809,9824,15,3
330,9825,9839,9825,9839,14,3
331,9840,9854,9840,9854,14,3
332,9855,9869,9855,9869,14,3
333,9870,9883,9870,9883,13,3
334,9884,9898,9884,9898,14,3
335,9899,9912,9899,9912,13,3
336,9913,9925,9913,9925,12,3
337,9926,9940,9926,9940,14,3
338,9941,9956,9941,9956,15,3
339,9957,9972,9957,9972,15,3
340,9973,9986,9973,9986,13,3
341,9987,10001,9987,10001,14,3
342,10002,10014,10002,10014,12,3
343,10015,10027,10015,10027,12,3
344,10028,10041,10028,10041,13,3
345,10042,10055,10042,10055,13,3
346,10056,10069,10056,10069,13,3
347,10070,10081,10070,10081,11,3
348,10082,10092,10082,10092,10,3
349,10093,10102,10093,10102,9,3
350,10103,10112,10103,10112,9,3
351,10113,10122,10113,10122,9,3
352,10123,10131,10123,10131,8,3
353,10132,10141,10132,10141,9,3
354,10142,10151,10142,10151,9,3
355,10152,10161,10152,10161,9,3
356,10162,10171,10162,10171,9,3
357,10172,10180,10172,10180,8,3
358,10181,10189,10181,10189,8,3
359,10190,10197,10190,10197,7,3
360,10198,10205,10198,10205,7,3
361,10206,10213,10206,10213,7,3
362,10214,10222,10214,10222,8,3
363,10223,10230,10223,10230,7,4
364,10231,10239,10231,10239,8,4
365,10240,10248,10240,10248,8,4
366,10249,10256,10249,10256,7,4
367,10257,10265,10257,10265,8,4
368,10266,10274,10266,10274,8,4
369,10275,10283,10275,10283,8,4
370,10284,10291,10284,10291,7,4
371,10292,10299,10292,10299,7,4
372,10300,10308,10300,10308,8,4
373,10309,10317,10309,10317,8,4
374,10318,10327,10318,10327,9,4
375,10328,10337,10328,10337,9,4
376,10338,10349,10338,10349,11,4
377,10350,10361,10350,10361,11,4
378,10362,10372,10362,10372,10,4
379,10373,10383,10373,10383,10,4
380,10384,10394,10384,10394,10,4
381,10395,10405,10395,10405,10,4
382,10406,10416,10406,10416,10,4
383,10417,10428,10417,10428,11,4
384,10429,10441,10429,10441,12,4
385,10442,10455,10442,10455,13,4
386,10456,10469,10456,10469,13,4
387,10470,10482,10470,10482,12,4
388,10483,10495,10483,10495,12,4
389,10496,10507,10496,10507,11,4
390,10508,10520,10508,10520,12,4
391,10521,10534,10521,10534,13,4
392,10535,10549,10535,10549,14,4
393,10550,10564,10550,10564,14,4
394,10565,10578,10565,10578,13,4
395,10579,10591,10579,10591,12,4
396,10592,10601,10592,10601,9,4
397,10602,10612,10602,10612,10,4
398,10613,10622,10613,10622,9,4
399,10623,10632,10623,10632,9,4
400,10633,10642,10633,10642,9,4
401,10643,10652,10643,10652,9,4
402,10653,10662,10653,10662,9,4
403,10663,10671,10663,10671,8,4
404,10672,10680,10672,10680,8,4
405,10681,10688,10681,10688,7,4
406,10689,10695,10689,10695,6,4
407,10696,10702,10696,10702,6,4
408,10703,10709,10703,10709,6,4
409,10710,10717,10710,10717,7,4
410,10718,10724,10718,10724,6,4
411,10725,10731,10725,10731,6,4
412,10732,10739,10732,10739,7,4
413,10740,10744,10740,10744,4,4
414,10745,10749,10745,10749,4,4
415,10750,10753,10750,10753,3,4
416,10754,10758,10754,10758,4,4
417,10759,10762,10759,10762,3,4
418,10763,10766,10763,10766,3,4
419,10767,10770,10767,10770,3,4
420,10771,10773,10771,10773,2,4
421,10774,10777,10774,10777,3,4
422,10778,10780,10778,10780,2,4
423,10781,10783,10781,10783,2,4
424,10784,10786,10784,10786,2,4
425,10787,10790,10787,10790,3,4
426,10791,10793,10791,10793,2,5
427,10794,10796,10794,10796,2,5
428,10797,10798,10797,10798,1,5
429,10799,10801,10799,10801,2,5
430,10802,10804,10802,10804,2,5
431,10805,10807,10805,10807,2,5
432,10808,10809,10808,10809,1,5
433,10810,10812,10810,10812,2,5
434,10813,10815,10813,10815,2,5
435,10816,10817,10816,10817,1,5
436,10818,10820,10818,10820,2,5
437,10821,10823,10821,10823,2,5
438,10824,10825,10824,10825,1,5
439,10826,10828,10826,10828,2,5
440,10829,10831,10829,10831,2,5
441,10832,10833,10832,10833,1,5
442,10834,10836,10834,10836,2,5
443,10837,10839,10837,10839,2,5
444,10840,10841,10840,10841,1,5
445,10842,10844,10842,10844,2,5
446,10845,10847,10845,10847,2,5
447,10848,10850,10848,10850,2,5
448,10851,10853,10851,10853,2,5
449,10854,10856,10854,10856,2,5
450,10857,10859,10857,10859,2,5
451,10860,10861,10860,10861,1,5
452,10862,10865,10862,10865,3,5
453,10866,10868,10866,10868,2,5
454,10869,10870,10869,10870,1,5
455,10871,10874,10871,10874,3,5
456,10875,10877,10875,10877,2,5
457,10878,10880,10878,10880,2,5
458,10881,10884,10881,10884,3,5
459,10885,10887,10885,10887,2,5
460,10888,10891,10888,10891,3,5
461,10892,10894,10892,10894,2,5
462,10895,10898,10895,10898,3,5
463,10899,10902,10899,10902,3,5
464,10903,10905,10903,10905,2,5
465,10906,10909,10906,10909,3,5
466,10910,10913,10910,10913,3,5
467,10914,10917,10914,10917,3,5
468,10918,10922,10918,10922,4,5
469,10923,10927,10923,10927,4,5
470,10928,10932,10928,10932,4,5
471,10933,10938,10933,10938,5,5
472,10939,10944,10939,10944,5,5
473,10945,10950,10945,10950,5,5
474,10951,10956,10951,10956,5,5
475,10957,10963,10957,10963,6,5
476,10964,10969,10964,10969,5,5
477,10970,10975,10970,10975,5,5
478,10976,10981,10976,10981,5,5
479,10982,10986,10982,10986,4,5
480,10987,10992,10987,10992,5,5
481,10993,10998,10993,10998,5,5
482,10999,11004,10999,11004,5,5
483,11005,11010,11005,11010,5,5
484,11011,11016,11011,11016,5,5
485,11017,11022,11017,11022,5,5
486,11023,11029,11023,11029,6,5
487,11030,11035,11030,11035,5,5
488,11036,11042,11036,11042,6,5
489,11043,11049,11043,11049,6,5
490,11050,11056,11050,11056,6,5
491,11057,11063,11057,11063,6,5
492,11064,11070,11064,11070,6,5
493,11071,11077,11071,11077,6,5
494,11078,11084,11078,11084,6,5
495,11085,11091,11085,11091,6,5
496,11092,11098,11092,11098,6,5
497,11099,11105,11099,11105,6,5
498,11106,11112,11106,11112,6,5
499,11113,11119,11113,11119,6,5
500,11120,11127,11120,11127,7,6
501,11128,11136,11128,11136,8,6
502,11137,11145,11137,11145,8,6
503,11146,11154,11146,11154,8,6
504,11155,11164,11155,11164,9,6
505,11165,11174,11165,11174,9,6
506,11175,11184,11175,11184,9,6
507,11185,11193,11185,11193,8,6
508,11194,11202,11194,11202,8,6
509,11203,11211,11203,11211,8,6
510,11212,11220,11212,11220,8,6
511,11221,11230,11221,11230,9,6
512,11231,11240,11231,11240,9,6
513,11241,11250,11241,11250,9,6
514,11251,11261,11251,11261,10,6
515,11262,11271,11262,11271,9,6
516,11272,11280,11272,11280,8,6
