,ix,skypos,band,theCount,t0,t1,globalcount,stimcount,exptime,deadtime
1109,2949,300.415145046_76.1331574617,FUV,8582,815635173.995,815635288.995,481090.0,8582.0,114.0,0.0239050931677
1110,2935,78.0809355402_86.8304750191,FUV,8164,820113303.995,820113412.995,345714.0,8164.0,108.0,0.018123931848
1111,2959,194.273679634_79.6495441438,FUV,8196,794356415.995,794356524.995,291946.0,8196.0,108.0,0.015305163827
1112,2945,115.5694731_67.6712570718,FUV,10299,851011119.995,851011256.995,387447.0,10299.0,137.0,0.0161604588113
1113,2955,25.3200389816_76.1045512234,FUV,9801,819741590.995,819741721.995,514949.0,9801.0,125.998999953,0.0224623336968
1114,3053,156.454190427_68.0072209836,FUV,128418,882413122.995,882414825.995,3687438.0,128418.0,1692.99000001,0.0123729150239
1115,2969,160.788616497_63.0401697434,FUV,128922,917879413.995,917881116.995,2626366.0,128922.0,1691.10000002,0.00881256941532
1116,3063,23.3681707221_85.6306218088,FUV,7942,816101714.995,816101820.995,359660.0,7942.0,100.998999953,0.0193886792453
1117,2965,160.788616497_63.0401697434,FUV,128661,917642819.995,917644518.995,2529197.0,128661.0,1690.97000003,0.00850650634827
1118,2979,79.2463226497_72.4231639825,FUV,8567,819918652.995,819918767.995,535640.0,8567.0,114.0,0.0266156521739
1119,3073,89.384662439_70.6334053315,FUV,19019,842957658.995,842957913.995,1044257.0,19019.0,210.985000014,0.0234007170868
1120,2975,91.2894297738_82.650882008,FUV,14216,908373824.995,908374013.995,528178.0,14216.0,188.0,0.0159691005291
1121,2989,292.502629503_76.8795747038,FUV,7701,877177340.995,877177443.995,425082.0,7701.0,78.6599999666,0.0235829126214
1122,2985,205.755153381_59.4393442016,FUV,8105,856033492.995,856033599.995,183252.0,8105.0,106.0,0.00978648865154
1123,3083,73.2170998167_71.7788119949,FUV,7510,842519986.995,842520087.995,471698.0,7510.0,100.0,0.0266872984441
1124,2999,117.291587981_76.0081759865,FUV,8733,816196812.995,816196928.995,261288.0,8733.0,116.0,0.0128713300493
1125,3093,41.4370947481_65.6972603223,FUV,8061,850578842.995,850578952.995,830199.0,8061.0,109.0,0.0431272207792
1126,3103,215.63470403_81.3196559566,FUV,8649,815954086.995,815954201.995,322834.0,8649.0,105.997999907,0.0160414409938
1127,3009,249.787948095_66.3393399024,FUV,86233,899268200.995,899269348.995,3155103.0,86233.0,1148.0,0.0157048432056
1128,3113,2.63482895803_79.0218836877,FUV,9442,855265079.995,855265207.995,810215.0,9442.0,127.0,0.0361703125
1129,2995,199.680231884_65.3458554769,FUV,106662,767874601.995,767876015.995,3235875.0,106662.0,1391.97500002,0.013076884219
1130,3019,305.172168565_72.332619311,FUV,8571,776320619.995,776320735.995,691938.0,8571.0,115.0,0.0340856157635
1131,3123,45.6248552911_65.6324259905,FUV,8665,819557046.995,819557163.995,722686.0,8665.0,116.0,0.035296019536
1132,3029,84.6258710728_61.6989791213,FUV,7921,855175768.995,855175874.995,443123.0,7921.0,105.0,0.023888032345
1133,3133,359.094597382_81.0927219663,FUV,7522,842402042.995,842402143.995,472839.0,7522.0,100.0,0.0267518528996
1134,3039,175.118667541_59.894858615,FUV,7798,855340864.995,855340967.995,141659.0,7798.0,92.3899999857,0.00785902912621
1135,3005,249.787948095_66.3393399024,FUV,64379,891488611.995,891489466.995,2157043.0,64379.0,855.0,0.0144163274854
1136,3143,182.562992477_85.4722678902,FUV,8153,851075481.995,851075589.995,295294.0,8153.0,107.0,0.015624021164
1137,3015,120.838968419_72.9141028197,FUV,8756,816197254.995,816197370.995,254152.0,8756.0,109.998000026,0.0125198029557
1138,3153,349.589995065_83.9479722434,FUV,7440,842118387.995,842118487.995,433858.0,7440.0,94.9950000048,0.0247918857143
1139,3049,156.454190427_68.0072209836,FUV,20314,758683468.995,758683738.995,717733.0,20314.0,268.0,0.0151901164021
1140,3025,296.281094633_74.9897293086,FUV,8526,841916430.995,841916544.995,532567.0,8526.0,113.0,0.0266950877193
